0,496462665
-183120,13751750
576720,13624688
384480,13045830
-122080,13036340
-63176,11026260
-94764,10977980
287820,10505223
1033660,10176972
431730,10086328
1550490,9576739
-244160,9191916
-61040,8268897
768960,8268740
192240,7436448
-213640,6869933
621310,6665973
931965,6621282
947235,6503767
-31588,6455366
-305200,6451690
-152600,6410086
-126352,6191613
631490,6189357
377328,6074264
251552,6020136
143910,5992717
-274680,5983836
75136,5808995
112704,5792880
516830,5789356
571092,5751687
856638,5611008
-99144,5485329
826560,5409320
1239840,5265145
961200,5246129
-148716,5240836
575640,5228466
-53280,5176443
-79920,5014806
-335720,4913043
-366240,4699094
2067320,4618159
-91560,4129526
-396760,4073820
310655,3861809
-427280,3858622
1262980,3841400
704880,3789222
-30520,3767782
1242620,3765450
640800,3732439
-157940,3730556
1153440,3674304
-110558,3654605
897120,3652775
833040,3645580
37568,3627975
315745,3573283
503104,3483159
125776,3456950
-78970,3436203
-49572,3427590
150272,3373054
512640,3277195
285546,3270595
-457800,3246236
1025280,3229401
-488320,3224143
-142146,3170494
-118455,3156757
413280,3128049
1089360,3105490
-102661,3035850
-26640,3014324
-134249,3013848
1345680,3000651
1142184,2973158
448560,2955997
-86867,2908663
719550,2863292
-198288,2790778
-150043,2780998
1217520,2693890
1281600,2644753
1653120,2641699
-165837,2631065
-173734,2578905
-106560,2574752
-518840,2517342
-189528,2516731
1537920,2476981
-549360,2470624
-610400,2432646
551655,2349625
64080,2335073
407745,2325223
-181631,2313120
2584150,2284915
-71073,2284204
1578725,2280402
455715,2265904
1409760,2211424
131488,2199120
-197425,2197120
599625,2196270
527670,2188194
1553275,2187468
-47382,2185661
93920,2164399
479700,2162832
-205322,2136507
1922400,2124170
1473840,2119187
-221116,2104151
628880,2084398
440216,2081761
-7897,2075670
383760,2069182
187840,2044846
320400,2014966
256320,2000055
623610,1993759
-213219,1992888
1730160,1990597
695565,1986650
-15794,1960488
314440,1935561
671580,1933836
1447124,1929604
23985,1917145
743535,1871752
128160,1859467
-579880,1855366
1653856,1836640
-252704,1828646
1963954,1817027
863460,1810850
647595,1807372
169056,1806862
503685,1798302
565992,1795005
-55279,1775568
335790,1772985
-229013,1771746
1860588,1761290
1602000,1752274
1757222,1732596
311805,1723606
1343758,1715729
-236910,1713821
-976640,1691529
-4181240,1678084
-4150720,1677643
-4211760,1674585
-4089680,1673922
-4120200,1673375
-4242280,1673036
-4272800,1670636
767520,1663348
-4303320,1662622
-315880,1661542
-4059160,1661399
-4333840,1658075
103366,1657409
-4028640,1654277
-3998120,1647630
-4364360,1646781
815490,1644079
-3967600,1642824
1427730,1641299
1240392,1637480
-3937080,1633443
-4394880,1633347
1666080,1628648
-3906560,1625434
2170686,1624474
-4425400,1616081
-3876040,1615894
791505,1615086
-671440,1614461
-3845520,1607318
-4455920,1602677
-3815000,1599584
-23691,1595348
-3784480,1592384
3075840,1583738
839475,1583334
-4486440,1581526
-3753960,1572735
-244807,1566856
-3723440,1562757
-4516960,1562332
-39485,1549406
-3692920,1547309
-247860,1547061
-4547480,1545377
-3662400,1537030
-4578000,1528616
887445,1523892
1007370,1521454
-3631880,1519898
-4608520,1509749
-3601360,1506055
-123930,1494163
-4639040,1492355
-3570840,1488017
2274052,1477453
-3540320,1477144
1137026,1471982
-4669560,1468506
-640920,1459145
-284292,1457294
-3509800,1456624
-4700080,1452545
-3479280,1441253
1894470,1440623
2480784,1438844
911430,1434656
2377418,1426876
-4730600,1426186
-173502,1424650
691768,1424222
-3448760,1419969
935415,1415743
1439100,1415139
263835,1407798
206624,1407547
-4761120,1404200
959400,1401772
-3418240,1401350
47970,1398960
-4791640,1383436
-260601,1383103
-3387720,1376300
754656,1374319
56352,1373354
1863930,1373038
-4822160,1364622
2114640,1361578
-505408,1360209
-3357200,1359064
1151280,1358267
-133200,1358221
983385,1354168
